keys,ru,en
DIALOGUE_4,"Теперь действительно сложная история. Источник здесь зафиксирован, неизвестный объект и детектор — тоже. В твоем распоряжении только набор фильтров. Попробуй добиться на детекторе 5 у.е.","Now a really difficult problem. The source is fixed here, as are the unknown object and the detector. You only have a set of filters at your disposal. Try to achieve 5 units on the detector."
DIALOGUE_5,"— Отличная работа, Ганс, — сказал кот, облизнувшись. — Мы с тобой славно потрудились, и всё необходимое доставят к твоей машине после полуночи. Ты сможешь переместиться туда, куда и планировал. Единственная проблема состоит в том, что система рычагов для выставления времени и места прибытия по-прежнему не работает, и ты сможешь прибыть только в конкретную точку. Не совсем ту, которую ты хотел, но максимально ей близкую.

— Это какую? — спросил инженер, бережно кладя руку на новый оптический элемент.

— Недалеко от твоей мастерской, но спустя несколько недель после твоего отъезда.

— Меня это вполне устраивает. Главное — поближе к своему инструментарию.

Кот понимающе кивнул и, покусывая лапу, добавил:

— И, я думаю, тебе будет правильно сообщить, что я всё-таки не смог сдержаться и решил, что раз ты сам загадки не особо разгадываешь, то было бы правильно, чтобы этим занялся твой младший коллега.

— Мартин? — встревоженно перебил кота Ганс. Он точно знал, что этот парень не должен наделать глупостей, но всё же мастерская не была самым безопасным местом на планете.

— Да-да, именно он. Не переживай, там нет ничего сверхстрашного и тяжёлого... Вот, можешь сам посмотреть на эти электрические системы. Думаю, что он и сам может справиться, но вдруг тебе будет интересно. Тем более что я ему выслал замечательную подсказку, которая вот-вот прибудет к нему по почте.

Ганс взял несколько чертежей, которые лежали недалеко от кота, и погрузился в их изучение.

***

Не замечавший пролетевших часов Мартин усердно трудился над первым самостоятельным заказом в своей жизни. Время уже было за полночь, и у него никак не получалось закончить последнее устройство. Близость к завершению больше не вдохновляла его, ведь он уже не раз оказывался на этом этапе, и каждый раз заказы возвращались на доработку. Света тусклой настольной лампы точно не хватило бы, чтобы увидеть проплывающий в темноте и, разумеется, на уровне подоконника, берет. На этот раз дверь не открылась, а лишь с лёгким шлепком упали на входной коврик, протиснутые в щель для писем, свёртки. Мартин отвлёкся и, потирая красные от отсутствия сна глаза, подошёл к неожиданному презенту.","— Excellent work, Hans, — said the cat. — We’ve done a great job, and everything you need will be delivered to your car after midnight. You’ll be able to move to the place you planned. The only problem is that the lever system for setting the time and destination still doesn’t work, so you’ll only be able to arrive at a specific point. Not exactly the one you wanted, but as close to it as possible.

— Which point? — asked the engineer, gently placing his hand on the new optical element.

— Not far from your workshop, but a few weeks after your departure.

— That works for me. The main thing is to be close to my tools.

The cat nodded knowingly and, nibbling on its paw, added:

— And I think it’s only fair to let you know that I couldn’t resist and decided that, since you’re not particularly fond of solving puzzles yourself, it would be better if your younger colleague took care of it.

— Martin? — Hans interrupted the cat anxiously. He was certain the guy wouldn’t mess things up, but the workshop wasn’t exactly the safest place on the planet.

— Yes, yes, him. Don’t worry, there’s nothing too scary or difficult there... Look, you can check out these electrical systems yourself. I think he can handle it on his own, but you might find it interesting. Besides, I sent him a wonderful clue, which should arrive by mail any moment now.

Hans picked up a few blueprints lying near the cat and immersed himself in studying them.

***

Unaware of the hours flying by, Martin was diligently working on the first independent project of his life. It was already past midnight, and he still couldn’t finish the last device. The proximity to completion no longer motivated him, as he had been at this stage before, and each time the orders were sent back for revisions. The dim light of the desk lamp was certainly not enough to notice a beret floating in the darkness, naturally at the level of the windowsill. This time, the door didn’t open; instead, with a soft thud, packages slipped through the mail slot and landed on the doormat. Martin paused, rubbed his sleep-deprived red eyes, and approached the unexpected delivery."
TUT1,"Приветствую Вас в новом Первом Хинте! В этот раз мы поможем  Гансу разгадать оптические загадки Сфинкса. На правой стороне экрана находится игровое поле - оптический стол (или просто песок, мы не разобрались). На левой - доступные оптические элементы. Чтобы разместить элемент, возьмите его слева с помощью ЛКМ, перенесите на игровое поле и нажмите ЛКМ ещё раз. Выбранный элемент можно вращать с помощью клавиш Q и E. Цель каждого уровня - подсветить детектор лучом из лазера. Удачи!","Wecome to the new First Hint! Today we weill help Hans solve Sphinx's optical puzzles. On the right side of the screen there is the game field - an optical bench (or just a bunch of sand, we didn't really figure that out). On the left - some optical elements. To place an element, pick it by pressing LMB on its icon on the left, hover it to the game field and press LMB again. You can rotate the chosen element with Q and E keys. The goal of each level is to illuminate detector by the beam of the laser"
TUT3,"Возможно, Вы уже поняли, что не все лучи одинаковы. В этой игре у каждого луча есть спектр. Всего есть три компоненты: красная, зелёная и синяя, мощность каждой определяется целым числом. Если нажать на детектор ПКМ, выведится информация о необходимом спектре подсвечивающего луча, а также текущая суммарная регистрируемая мощность. Для манипуляций со спектром можно использовать фильтры, которые ослабляют определённые спектральные компоненты.","You have probably figured out by now that not all rays in this game are equal. Each one has its specter. In total, there are three components: red, green and blue, power of each is denoted by an integer. By pressing RMB on a detecter You can get the required specter of the beam to win, as well as total registerd power at the moment. To modify specter, You can use filters that weaken specific spectral components."
TUT4,"Кроме фильтров, существуют и усилители: они, наоборот, усиливают компоненту в сигнале. Однако, если её изначально не было в спектре, они ничего не сделают.","Besides fiilters, there are also amplifiers that boost their respective component. But if the spectral component wasn't present to begin with, they don't do anything"
TUT5,"Конечно, фильтры могут менять сразу несколько компонент. Возможно, разные - с разной силой. На этом уровне в Вашем распоряжении дисперсионная призма, которая может пространственно разделить разные спектральные компоненты: используйте её и вспомогательные детекторы, чтобы решить эту головоломку!","Of course, filters can filter out a set of compinents. Maybe even with differnet strentgh. In this level You have a dispersive prism that can spatially separate different beam components: use that and supplementary detectors to solve the puzzle!"
TUT7,"Последняя подсказка: Сигналы от разных лучей, приходящих на детектор складываются.",Last hint: detector integrates all incident beams.
WIN,"Уровень пройден! Нажми 'N', чтобы продолжить.",Level complete! Press 'N' to continue.
MIRROR,Зеркало,Mirror
FILTER,Фильтр,Filter
AMPLIFIER,Усилитель,Amplifier
DISPERSER,Дисперсионная призма,Dispersive prism
